ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
0,Managing My Life: My Autobiography,"1999 was an outstanding year for Alex Ferguson—not only did he lead Manchester United to a unique and outstanding treble triumph, but he was also awarded the highest honour for his sporting achievements—a Knighthood from the Queen. Universally respected for his tough but caring managerial style, Ferguson is an intelligent man with a fascinating life story. Covering his tough Govan upbringing through to his playing days and onto his shift into management, Managing My Life is told with a fine balance of biting controversy and human sensitivity.",0340728566,9780340728567,531,Alex Ferguson, , ,4.05,1028,36,Hodder & Stoughton,August 1st 2000,Paperback,English,100-1208987.Managing_My_Life.html
1,I Remember: Sketch for an Autobiography,"Boris Pasternak's autobiographical sketch is the most outspoken and heart-searching document a great poet has ever written. It takes courage to dismiss, as Pasternak does, most of his literary output of the twenty-odd years that followed the publication in 1914 of his first volume of verse, A Twin in the Clouds, with the dry remark, 'I do not like my style up to 1940'; but it takes even greater courage, knowing the sort of aura of sanctity that hangs over the name of Mayakovsky in the Soviet Union, to declare that he rejects half of Mayakovsky, or, even more bluntly, that Mayakovsky was being 'propagated' by the Communist Government 'like potatoes in the reign of Catherine the Great.'",0844627100,9780844627106,0,Boris Pasternak, , ,3.53,17,5,Peter Smith Publisher,,Hardcover,English,1000-2193746.I_Remember.html
2,Betty Boothroyd: Autobiography,"The enormous respect and affection of the British public for Betty Boothroyd has its roots in a strong belief in what she stands for—fair play, an unshakeable sense of honor, and a passionate belief in the sovereignty of Parliament. This is a candid account of Betty Boothroyd’s life in politics, and she speaks frankly of the devastation of losing two elections, of campaigning for JFK in America, and the elation she felt on finally becoming an MP in 1973. But her long political career reached its apogee in 1992 when she was appointed the first woman Speaker of the House of Commons. Detailing many of the true stories behind the headlines, she writes of the sleaze scandals that beset the Major government, her feelings when Labour won their landslide election in 1997, and her strongly held views on the role of Parliament.",0712679480,9780712679480,384,Betty Boothroyd, , ,3.60,20,3,Random House UK,November 1st 2002,Hardcover,English,1001-2155002.Betty_Boothroyd.html
3,"Caddie, A Sydney Barmaid: An Autobiography","Caddie, the Story of a Barmaid is the fictionally embellished autobiography of Catherine ""Caddie"" Edmonds, who worked as a barmaid in Sydney during the Great Depression. Published anonymously in 1953 under Edmonds' nickname, which was coined by a lover who likened her to ""the sleek body and class of his Cadillac motorcar"", Caddie attracted wide critical acclaim upon its original publication in London, and became a bestseller when it was adapted into a feature film in 1976, one year after International Women's Year. Author and origins The book's anonymous author, Catherine Beatrice Edmonds (1900–1960), was employed for some years from 1945 as a charwoman by authors Dymphna Cusack and Florence James at their cottage in the Blue Mountains. At the time, Cusack and James were working on their epic collaborative novel, Come In Spinner. Edmonds initially took the job in the hope that the authors would write her story. Entertained by Edmonds' turn of phrase and her stories of working as a barmaid during the Depression, Cusack and James encouraged and coached her through seven drafts of an autobiography until 1952.[1] Edmonds married Frederick George Holloway (represented as 'Jon Marsh' in the book) on 25 January 1919 at St Stephen's Church, Newtown. The couple had two children in the early years of the marriage: a son named Ronald, and a daughter named Catherine. The couple were divorced in Sydney on 20 December 1929. She married again on 24 February 1934 to Arthur John Baden Surenne at the Methodist Church at Marrickville. This marriage lasted until 1948 when the couple divorced. She later changed her surname by deed poll to Elliott-Mackay. Edmonds chose to write under a pseudonym because she was publicity-shy. John Ritchie's entry in the Australian Dictionary of Biography describes her as plump, round-faced, with ""narrow, grey-blue eyes, 'wavy, light brown hair streaked with grey', and deeply-graven lines at the corners of her mouth"". Caddie Edmonds died of a heart attack on 16 April 1960 at her home in Regentville in Sydney. She was buried in Penrith General Cemetery and was survived by a son and a daughter.[2] Plot introduction The book follows the story of the nicknamed author, Caddie, from a brief outline of her childhood to her work as a barmaid and, later, SP bookmaking, during the Great Depression until the outbreak of World War II. During this time Caddie overcomes numerous hardships as she raises her two children without the support of family or her estranged husband, Jon Marsh. Plot summary The book tells the story of Caddie, starting with her birth in Penrith, New South Wales, in 1900 to a family living in poverty. They move to railway camps at Glenbrook in the Blue Mountains where her drunken father works as a railway fettler. His abuse becomes worse when her mother dies in childbirth and her brother is killed at the Gallipoli landing. To escape her family, she moves to Sydney to work as a shop assistant with her friend, Esther, while still a young woman. She meets and marries a middle-class man, Jon Marsh, and has two children by him. She feels constrained by the control taken by her mother-in-law, living next door, who treats her as undeserving of her son, as Caddie is not ""pure merino"" (i.e., with only free-settler, not convict, forebears). Caddie leaves when she discovers Jon's sexual relationship with Esther. Jon and his mother endeavour to retain custody of the children, although Caddie believes this is really only to spite her. Caddie moves to the first available cheap accommodation, only to find that the premises are mainly inhabited by prostitutes. Caddie finds better-paid work as a barmaid, a morally suspect position—her first employer tells her to shorten her dress, for example, because ""she was an artwork, and he liked his artwork on display."" She places her children in the care of a church-run home, having tried leaving them with carers who mistreated and neglected them. She visits weekly, often with her barmaid friend, Leslie. When the Depression hits, tips are less common and both women's incomes fall dramatically. Through Leslie, Caddie meets a Greek immigrant and business owner, Peter, with whom she establishes a loving relationship, with Peter buying gifts for weekend visits with Caddie's children. Caddie and Peter are distressed when Peter's estranged wife and ailing father call him back to Greece to run the family business. The couple corresponds, with Peter reporting that his attempts to divorce his wife have been unsuccessful. With the effects of the Depression deepening, Caddie takes additional work by running tabs for the pub's SP bookmaker. She regains custody of her children and rents a house, furnishing it with fruit cases for chairs. She befriends Bill ""the Rabbittoh"" (rabbit seller), Sonny his brother and their parents, and Bill helps her sign up for the dole (sustenance food provisions meant for those without income). Caddie saves some money when she starts running the SP books herself, the bookmaker having moved on to legal bookmaking at the racecourse. Caddie decides to leave the city, having been offered work on a farm. She moves house to share with Bill the rabbittoh for a week, to save rent before moving to mountains for other work, but remains there when the work offer is withdrawn. She emotionally supports, and is supported by, Bill's family, including caring for his elderly father before his death. Around this time, Peter's wife dies, and Peter asks Caddie to migrate. Caddie feels unable to do this, but Peter is tied to Greece to keep the business alive. You'll have to read the book to see what happens from here! Major themes The book documents one woman's version of her experiences of the Great Depression, highlighting her battle to maintain her respectability while ensuring she can support her children. At the time, Australian bars were segregated on gender lines, so the barmaid was the only female present in the main bar. As a result, barmaids had a bad name because a woman working in such conditions was regarded as morally suspect, perhaps luring men into spending their money in bars, perhaps soliciting commercial sex. Indeed, Caddie makes reference to the numerous sexual advances made towards her, both in her role as barmaid and in situations where it would benefit her, such as from the teacher at her children's school. She shows how she remained morally respectable in this regard, and shows how her other illegal activities - SP bookmaking, signing up for multiple welfare payments - were for the benefit of her family and friends. The story makes reference to the six o'clock swill, written at a time shortly after the war when it was presumed that the reader would be familiar with the phenomenon. In an effort to minimise alcohol consumption, the Australian government legislated that bars were to close at 6pm. The result was an extreme rush between 5pm and 6pm. Cusack notes how Caddie was reluctant to give any signs of complaint, but to take everything in her stride in order to meet the needs of her children. Cusack had Caddie rewrite the book several times in order to give more detail of the difficulties she faced and her feelings about them. The stoic strength of an Australian single woman ""battler"" is an underlying theme to the story. Publishing details The book was published in May 1953 by Constable & Co. Ltd in London to glowing reviews. By September it had been reprinted three times, although, at this stage, it was not a best seller. It was eventually published in Australia in 1966. The film adaptation in 1976 led to a resurgence in the book's popularity and bestseller status, with seven reprints that year, sixteen years after Caddie's death.",0725100141,9780725100148,199,Caddie, , ,3.62,24,2,Sun Books,1966,Unknown Binding, ,1002-4475340-caddie-a-sydney-barmaid.html
4,Nureyev: An Autobiography With Pictures, ,0340014687,9780340014684,160,Rudolf Nureyev,Richard Avedon,Alexander Bland,4.27,15,3,E P Dutton & Co,1963, ,English,1003-6319426-nureyev.html
5,Soul On The Street: An Autobiography,"In this extraordinary personal autobiography, William gives us an insight into what it has been like to play Ken for all those years. He tells the story of his early life and the spiritual influences that have inspired him to seek a deeper understanding of life. His years in the Army shaped him into a responsible and self-reliant young man who realized at the end of his service as an officer that he wanted to act. William also talks about how he has dealt with his various personal challenges, including the profound impact of the tragic loss of his young daughter.",1848500157,9781848500150,320,William Roache, , ,3.11,19,4,Hay House UK Ltd,October 1st 2008,Paperback,English,1004-4087010-soul-on-the-street.html
6,Autobiography (Hanuman Book No. 40), ,093781542X,9780937815427,150,Robert Creeley, , ,4.45,20,3,Hanuman Books,September 28th 1991,Paperback, ,1005-704616.Autobiography.html
7,Autobiography: My Story,"From a council house in Kent to her first home in the Hollywood hills, from being told she was too big to model to becoming an inspiration for curvy girls everywhere, Kelly's life has taken many unexpected turns. She dreamed of escaping her chaotic childhood by becoming an actress—she never imagined she'd become a hugely popular pin-up girl who would pose in Playboy and date some of the most attractive men in the world, or that her tempestuous relationships with the likes of Jason Statham and Billy Zane would be played out in the merciless glare of the media. Now, in her compelling autobiography, Kelly writes with total honesty about the men she has loved and the tragic loss and heartache she has overcome, as well as introducing readers to her world—that of a model, actress, presenter, and business woman. This is the real Kelly. The girl behind the gloss. A funny, feisty woman who lives life on her own terms.",0283071990,9780283071997,256,Kelly Brook, , ,3.37,19,3,Pan Macmillan,December 1st 2014,Hardcover, ,1006-22891744-autobiography.html
8,Jenny Pitman: The Autobiography,"To use modern parlance, Jenny Pitman OBE faced a double whammy when she applied for her trainer's licence. First, she was an outsider to the world of racing; second, and more importantly, she was a woman in what was still very much a man's world. As she tells us in her frank and entertaining autobiography, simply titled Jenny Pitman , she overcame the first problem much easier than beating the second. Known throughout the equine world as the first woman of racing, Mrs Pitman--now Mrs Stait after marrying her long-time partner David Stait in early 1998--is still having to bang her head against the brick wall that is sex discrimination. She tells how, after entering a fitness regime at the beginning of 1998 and looking and feeling better than she had for years, a male colleague asked whether or not her sex life had improved as she appeared so fit and healthy! But racing has been Jenny Pitman's life and the book is a no-holds barred account of a truly remarkable career. After telling of her happy childhood as the middle child of seven spent on a Leicestershire farm run by her parents, she describes the happiness she felt at her teenage marriage to jockey Richard Pitman. That joy was to turn to tears 10 years later when her first husband, and father of Jenny's two boys Mark and Paul, twice walked out on her. However, the outwardly tough-as-teak Jenny gritted her teeth and got on with the job of training racehorses. Jenny has achieved success in the world's toughest races and she fully describes the joy and heartbreak of landing two (it should have been three but Esha Ness's success came in the 1993 void race) Grand Nationals. Then there were the other Grand Nationals, the Scottish, Welsh and finally to complete the set, Irish versions of the event. In 1984 she became the only woman to train a Cheltenham Gold Cup winner and followed that up when the same horse, Burrough Hill Lad, became the first trained by a woman to land the coveted Hennessy Cognac Gold Cup. That was a record which stood until Venetia Williams took 1998's running. It is a frank book which covers and fully explains her run-ins with officialdom, press and even jockeys. The lead-up to her spat with Jamie Osborne is fully explained, as are the reasons behind her famous letter to Aintree officials over the state of the ground at 1998's Grand National. All in all, an enjoyable and informative read in which Mrs Pitman, as usual, pulls no punches.",1852252545,9781852252540,320,Jenny Pitman, , ,4.10,21,4,Partridge Press,November 5th 1998,Hardcover,English,1007-2966832-jenny-pitman.html
9,"Birdless Summer (China : Autobiography, History, Book 3)","Library sticker on front cover..Softback,Ex-Library,with usual stamps markings, ,in good all-round condition, ,350pages.",0586037691,9780586037690,352,Han Suyin, , ,4.28,39,3,Triad Books,April 20th 1972,Paperback,English,1008-1467774.Birdless_Summer.html
