node1,label,node2
Q1086823,in,cluster_0_0_4
Q345517,in,cluster_0_5_4
Q432694,in,cluster_0_5_24
Q75326809,in,cluster_0_0_4
Q75326777,in,cluster_0_5_4
Q75326779,in,cluster_0_5_4
Q75326780,in,cluster_0_5_4
Q96079835,in,cluster_0_0_4
Q96079836,in,cluster_0_9_4
Q96079838,in,cluster_0_0_4
Q76363382,in,cluster_0_5_4
Q76363384,in,cluster_0_5_4
Q76363386,in,cluster_0_0_4
Q11673,in,cluster_0_5_14
Q467912,in,cluster_0_5_14
Q134549,in,cluster_0_0_26
Q9696,in,cluster_0_0_24
Q313696,in,cluster_0_5_29
Q236540,in,cluster_0_0_29
Q441424,in,cluster_0_5_56
Q7926996,in,cluster_0_0_41
Q25310,in,cluster_0_0_22
Q265595,in,cluster_0_5_29
Q268799,in,cluster_0_0_29
Q272401,in,cluster_0_5_29
Q272908,in,cluster_0_5_26
Q505178,in,cluster_0_9_29
Q2383370,in,cluster_0_0_56
Q3048622,in,cluster_0_0_56
Q948920,in,cluster_0_5_56
Q1352872,in,cluster_0_5_14
Q258661,in,cluster_0_5_14
Q1386420,in,cluster_0_5_14
Q1804720,in,cluster_0_5_14
Q1975383,in,cluster_0_5_14
Q273833,in,cluster_0_5_14
Q467861,in,cluster_0_5_14
Q5112377,in,cluster_0_5_14
Q5178632,in,cluster_0_5_14
Q5301573,in,cluster_0_5_14
Q6794923,in,cluster_0_0_14
Q165421,in,cluster_0_0_33
Q230303,in,cluster_0_0_33
Q316064,in,cluster_0_5_33
Q3290402,in,cluster_0_0_33
Q75326753,in,cluster_0_5_33
Q230654,in,cluster_0_0_3
Q317248,in,cluster_0_0_41
Q2685,in,cluster_0_5_47
Q3436301,in,cluster_0_5_41
Q3529079,in,cluster_0_5_41
Q4773467,in,cluster_0_5_41
Q6769708,in,cluster_0_5_41
Q28109921,in,cluster_0_0_47
Q28109928,in,cluster_0_0_47
Q4521676,in,cluster_0_5_47
Q901541,in,cluster_0_0_47
Q23800185,in,cluster_0_0_47
Q75494768,in,cluster_0_5_47
Q23800370,in,cluster_0_5_47
Q3288486,in,cluster_0_0_47
Q96076900,in,cluster_0_0_47
Q38196234,in,cluster_0_0_47
Q24004771,in,cluster_0_0_47
Q96077739,in,cluster_0_5_41
Q96077740,in,cluster_0_0_41
Q65589427,in,cluster_0_0_41
Q43100988,in,cluster_0_5_47
Q503706,in,cluster_0_0_47
Q4491,in,cluster_0_5_47
Q65589450,in,cluster_0_0_41
Q75496774,in,cluster_0_5_47
Q4616,in,cluster_0_5_33
