a-1	12 12 12
a-2	2-Headed Shark Attack
a-3	21 Jump Street
a-4	28 Hotel Rooms
a-5	3 2 1... Frankie Go Boom
a-6	The ABCs of Death
a-7	About Cherry
a-8	Abraham Lincoln vs. Zombies
a-9	Act of Valor
a-10	After
a-11	The Aggression Scale
a-12	Air Collision
a-13	Alex Cross
a-14	Alien Origin
a-15	Alter Egos
a-16	The Amazing Adventures of the Living Corpse
a-17	The Amazing Spider-Man
a-18	American Reunion
a-19	Any Day Now
a-20	Apostle Peter and the Last Supper
a-21	The Apparition
a-22	Arbitrage
a-23	Arcadia
a-24	Argo
a-25	ATM
a-26	Art Machine
a-27	Atlas Shrugged: Part I
a-28	Atom the Amazing Zombie Killer
a-29	The Avengers
a-30	The Babymakers
a-31	Bachelorette
a-32	Bad Ass
a-33	Bad Kids Go to Hell
a-34	Barbie in a Mermaid Tale 2
a-35	Barbie: The Princess & the Popstar
a-36	The Barrens
a-37	Barricade
a-38	Batman Revealed
a-39	Batman: The Dark Knight Returns Part 1
a-40	The Battery
a-41	Battlefield America
a-42	Battleship
a-43	The Bay
a-44	BearCity 2: The Proposal
a-45	Beasts of the Southern Wild
a-46	The Beauty Inside
a-47	Being Flynn
a-48	Beauty and the Least: The Misadventures of Ben Banks
a-49	Bending the Rules
a-50	Bernie
a-51	Best Man Down
a-52	Beverly Hills Chihuahua 3: Viva La Fiesta!
a-53	Beyond
a-54	Big Miracle
a-55	Big Top Scooby-Doo!
a-56	Bill W.
a-57	Bindlestiffs
a-58	Black Rock
a-59	Blood for Irina
a-60	Border Run
a-61	Brake
a-62	The Bourne Legacy
a-63	Branded
a-64	Brave
a-65	Breaking Wind
a-66	Broken Roads
a-67	Bully
a-68	Butter
a-69	The Cabin in the Woods
a-71	California Solo
a-72	California Winter
a-73	Call Me Kuchu
a-74	The Campaign
a-75	Caroline and Jackie
a-76	Casa de mi Padre
a-77	Celeste & Jesse Forever
a-78	The Central Park Five
a-79	Changing the Game
a-80	Chasing Ice
a-81	Chasing Mavericks
a-82	Chernobyl Diaries
a-83	Chimpanzee
a-84	A Christmas Story 2
a-85	Christmas with the Dead
a-86	Chronicle
a-87	The Citizen
a-88	Lord of the Elves
a-89	Cloud Atlas
a-90	The Cold Light of Day
a-91	The Collection
a-92	Come Morning
a-93	The Comedy
a-94	Compliance
a-95	Contraband
a-96	Cowgirls 'n Angels
a-97	Crave
a-98	Crazy Eyes
a-99	Crooked Arrows
a-100	Damsels in Distress
a-101	The Dark Knight Rises
a-102	Dark Shadows
a-103	Dark Tide
a-104	A Dark Truth
a-105	Darling Companion
a-106	To Write Love on Her Arms
a-107	Dead Before Dawn 3D
a-108	Dead Man's Burden
a-109	Deadfall
a-110	Deadline
a-111	Death Race: Inferno
a-112	Deep Dark Canyon
a-113	Detachment
a-114	Detention of the Dead
a-115	The Devil Inside
a-116	Diary of a Wimpy Kid: Dog Days
a-117	The Dictator
a-118	Django Unchained
a-119	The Do-Deca-Pentathlon
a-120	Don't Change the Subject
a-121	Dracula Reborn
a-122	Dragon Eyes
a-123	Dysfunctional Friends
a-124	Eating Out: The Open Weekend
a-125	Eden
a-126	Elevator
a-127	Elf-Man
a-128	The End of Love
a-129	End of Watch
a-130	Evidence
a-131	See No Evil Hear No Evil
a-132	Excision
a-133	The Expendables 2
a-134	Extracted
a-135	Flight
a-136	Filly Brown
a-137	Finding Nemo
a-138	Fire with Fire
a-139	The First Time
a-140	The Fitzgerald Family Christmas
a-141	Flicka: Country Pride
a-142	For Ellen
a-143	For the Love of Money
a-144	The Forger
a-145	Forgetting the Girl
a-146	Fortress
a-147	Frankenweenie
a-148	Friends with Kids
a-149	Fun Size
a-151	Gayby
a-152	Girl in Progress
a-153	God Bless America
a-154	Gone
a-155	Good Deeds
a-156	The Grey
a-157	The Guilt Trip
a-158	Haywire
a-159	Just Before I Go
a-160	Here Comes the Boom
a-161	Hick
a-162	High School
a-163	Hit and Run
a-164	Hope Springs
a-165	Hotel Transylvania
a-166	House at the End of the Street
a-167	The Hunger Games
a-168	I Do
a-169	Ice Age: Continental Drift
a-170	Killer Joe
a-171	Jack Reacher
a-172	Jeff Who Lives at Home
a-173	John Carter
a-174	Journey 2: The Mysterious Island
a-175	Joyful Noise
a-176	Katy Perry: Part of Me
a-177	Keep the Lights On
a-178	A Late Quartet
a-179	Lawless
a-180	Liberal Arts
a-181	Life of Pi
a-182	Lincoln
a-183	A Little Bit of Heaven
a-184	Lockout
a-185	Lola Versus
a-186	The Loneliest Planet
a-187	Looper
a-188	The Lucky One
a-189	Madagascar 3: Europe's Most Wanted
a-190	Madea's Witness Protection
a-191	Magic Mike
a-192	The Magic of Belle Isle
a-194	Man on a Ledge
a-195	The Man with the Iron Fists
a-196	Marley
a-197	The Master
a-198	Men in Black 3
a-199	Mirror Mirror
a-200	Monsters Inc.
a-201	Moonrise Kingdom
a-202	Nobody Walks
a-203	The Odd Life of Timothy Green
a-204	One for the Money
a-205	ParaNorman
a-206	The Oogieloves in the Big Balloon Adventure
a-207	The Oranges
a-208	The Paperboy
a-209	Paranormal Activity 4
a-210	Parental Guidance
a-211	Peace Love & Misunderstanding
a-212	Philadelphia
a-213	The Perks of Being a Wallflower
a-214	Piranha 3DD
a-215	Pitch Perfect
a-216	The Possession
a-217	Premium Rush
a-218	Price Check
a-219	Project X
a-220	Prometheus
a-221	Puppet Master X: Axis Rising
a-222	The Queen of Versailles
a-223	The Raven
a-224	Red Dawn
a-225	Red Hook Summer
a-226	Red Lights
a-227	Red Tails
a-228	Rise of the Guardians
a-229	Robot & Frank
a-230	Rock of Ages
a-231	Ruby Sparks
a-232	Safe
a-233	Safe House
a-234	Safety Not Guaranteed
a-235	Samsara
a-236	Savages
a-237	Seeking a Friend for the End of the World
a-238	The Sessions
a-239	Silent Hill: Revelation 3D
a-240	Sinister
a-241	Silent House
a-242	Silver Linings Playbook
a-243	Sleepwalk with Me
a-244	Smashed
a-245	Snow White and the Huntsman
a-246	Sound of My Voice
a-247	Sparkle
a-248	Star Wars: Episode I - The Phantom Menace
a-249	Step Up Revolution
a-250	Stolen
a-251	The Swan Princess Christmas
a-252	Taken 2
a-253	The Tall Man
a-254	Ted
a-255	That's My Boy
a-256	Think Like a Man
a-257	This Is 40
a-258	This Means War
a-259	A Thousand Words
a-260	The Three Stooges
a-261	Thunderstruck
a-262	Titanic
a-263	Total Recall
a-264	Touchback
a-265	Trouble with the Curve
a-266	Underworld: Awakening
a-267	V/H/S
a-268	Twixt
a-269	The Vow
a-270	Wanderlust
a-271	The Watch
a-272	What to Expect When You're Expecting
a-273	Won't Back Down
a-274	The Words
a-275	Wrath of the Titans
a-276	Goodbye Promise
a-277	Zero Dark Thirty
a-278	127 Hours
a-279	8: The Mormon Proposition
a-280	Adventures of Power
a-281	Alice in Wonderland
a-282	All Good Things
a-283	Alpha and Omega
a-284	The American
a-285	Barry Munday
a-286	BearCity
a-287	Big Money Rustlas
a-288	Black Swan
a-289	Blue Valentine
a-290	The Book of Eli
a-291	Bouncing Cats
a-292	The Bounty Hunter
a-293	Brooklyn's Finest
a-294	Buried
a-295	Burlesque
a-296	Case 39
a-297	Casino Jack
a-298	Casino Jack and the United States of Money
a-299	Cats & Dogs: The Revenge of Kitty Galore
a-300	Charlie St. Cloud
a-301	The Chronicles of Narnia: The Voyage of the Dawn Treader
a-302	City Island
a-303	Clash of the Titans
a-304	Client 9: The Rise and Fall of Eliot Spitzer
a-305	The Company Men
a-306	Conviction
a-307	Cop Out
a-308	SWAT: Unit 887
a-309	Country Strong
a-310	The Crazies
a-311	Cyrus
a-312	Crazy on the Outside
a-313	Date Night
a-314	Daybreakers
a-315	Dear John
a-316	Death at a Funeral
a-317	Despicable Me
a-318	Devil
a-319	Diary of a Wimpy Kid
a-320	Dinner for Schmucks
a-321	Dirty Girl
a-322	Due Date
a-323	Easy A
