a-1	Massimo Morini
a-2	Christopher Ray
a-3	Phil Lord
a-4	Matt Ross
a-5	Jordan Roberts
a-6	Kaare Andrews
a-7	Stephen Elliott
a-8	Richard Schenkman
a-9	Mike McCoy
a-10	Ryan Smith
a-11	Steven C. Miller
a-12	Liz Adams
a-13	Rob Cohen
a-14	Mark Atkins
a-15	Jordan Galland
a-16	Justin Paul Ritter
a-17	Marc Webb
a-18	Jon Hurwitz
a-19	Travis Fine
a-20	Gabriel Sabloff
a-21	Todd Lincoln
a-22	Nicholas Jarecki
a-23	Olivia Silver
a-24	Ben Affleck
a-25	David Brooks
a-26	Doug Karr
a-27	Paul Johansson
a-28	Zack Beins
a-29	Joss Whedon
a-30	Jay Chandrasekhar
a-31	Leslye Headland
a-32	Craig Moss
a-33	Matthew Spradlin
a-34	William Lau
a-35	Ezekiel Norton
a-36	Darren Lynn Bousman
a-37	Andrew Currie
a-38	Chris Clark
a-39	Jay Oliva
a-40	Jeremy Gardner
a-41	Chris Stokes
a-42	Peter Berg
a-43	Barry Levinson
a-44	Douglas Langway
a-45	Benh Zeitlin
a-46	Jong-Yeol Baek
a-47	Paul Weitz
a-48	Bryce Clark
a-49	Artie Mandelberg
a-50	Richard Linklater
a-51	Ted Koland
a-52	Lev L. Spiro
a-53	Pernilla August
a-54	Ken Kwapis
a-55	Ben Jones
a-56	Dan Carracino
a-57	Andrew Edison
a-58	Katie Aselton
a-59	Chris Alexander
a-60	Gabriela Tagliavini
a-61	Gabe Torres
a-62	Tony Gilroy
a-63	Jamie Bradshaw
a-64	Mark Andrews
a-65	Craig Moss
a-66	Justin Chambers
a-67	Larry Clark
a-68	Jim Field Smith
a-69	Drew Goddard
a-71	Marshall Lewy
a-72	Odin Ozdil
a-73	Katherine Fairfax Wright
a-74	Jay Roach
a-75	Adam Christian Clark
a-76	Matt Piedmont
a-77	Lee Toland Krieger
a-78	Ken Burns
a-79	Rel Dowdell
a-80	Jeff Orlowski
a-81	Michael Apted
a-82	Bradley Parker
a-83	Alastair Fothergill
a-84	Brian Levant
a-85	T.L. Lankford
a-86	Josh Trank
a-87	Sam Kadi
a-88	Joseph J. Lawson
a-89	Tom Tykwer
a-90	Mabrouk El Mechri
a-91	Marcus Dunstan
a-92	Derrick Sims
a-93	Rick Alverson
a-94	Craig Zobel
a-95	Baltasar KormÃ¡kur
a-96	Timothy Armstrong
a-97	Charles de Lauzirika
a-98	Adam Sherman
a-99	Steve Rash
a-100	Whit Stillman
a-101	Christopher Nolan
a-102	Tim Burton
a-103	John Stockwell
a-104	Damian Lee
a-105	Lawrence Kasdan
a-106	Nathan Frankowski
a-107	April Mullen
a-108	Jared Moshe
a-109	Stefan Ruzowitzky
a-110	Sean McConville
a-111	Roel ReinÃ©
a-112	Abe Levy
a-113	Tony Kaye
a-114	Alex Craig Mann
a-115	William Brent Bell
a-116	David Bowers
a-117	Larry Charles
a-118	Quentin Tarantino
a-119	Jay Duplass
a-120	Mike Stutz
a-121	Attila Luca
a-122	John Hyams
a-123	Corey Grant
a-124	Q. Allan Brocka
a-125	Shyam Madiraju
a-126	Stig Svendsen
a-127	Ethan Wiley
a-128	Mark Webber
a-129	David Ayer
a-130	Olatunde Osunsanmi
a-131	Arthur Hiller
a-132	Richard Bates Jr.
a-133	Simon West
a-134	Nir Paniry
a-135	Robert Zemeckis
a-136	Youssef Delara
