b-1	12 Rounds 3: Lockdown
b-2	21 Jump Street
b-3	28 Hotel Rooms
b-4	3 2 1... Frankie Go Boom
b-5	40 Days And Nights
b-6	The ABCs of Death
b-7	About Cherry
b-8	Abraham Lincoln Vs. Zombies
b-9	Abraham Lincoln: Vampire Hunter
b-10	Act of Valor
b-11	The Day After Tomorrow
b-12	The Aggression Scale
b-13	Air Collision
b-14	Alex Cross
b-15	Alien Origin
b-16	Allegiance
b-17	Alter Egos
b-18	The Amazing Adventures of the Living Corpse
b-19	The Amazing Spider-Man
b-20	American Reunion
b-21	Any Day Now
b-22	Apostle Peter and the Last Supper
b-23	The Apparition
b-24	Arbitrage
b-25	Arcadia
b-26	Argo
b-27	Art Machine
b-28	ATM
b-29	Atlas Shrugged: Part II
b-30	Atom The Amazing Zombie Killer
b-31	The Avengers
b-32	The Babymakers
b-33	Bachelorette
b-34	Bad Ass
b-35	Bad Kids Go to Hell
b-36	Barbie In A Mermaid Tale 2
b-37	Barbie: The Princess & the Popstar
b-38	The Barrens
b-39	Barricade
b-40	Batman: The Dark Knight Returns Part 1
b-41	The Battery
b-42	Battlefield America
b-43	Battleship
b-44	The Bay
b-45	BearCity 2: The Proposal
b-46	Beasts of the Southern Wild
b-47	Beauty and the Beast
b-48	The Beauty Inside
b-49	Being Flynn
b-50	Ben Banks
b-51	Bending the Rules
b-52	Bernie
b-53	Best Man Down
b-54	Beverly Hills Chihuahua 3: Viva La Fiesta!
b-55	Beyond The Reach
b-56	Big Miracle
b-57	Bill W.
b-58	Bindlestiffs
b-59	Black Rock
b-60	Blood For Irina
b-61	Border Run (The Mule)
b-62	The Bourne Legacy
b-63	Brake
b-64	Branded
b-65	Braveheart
b-66	Breaking Wind
b-67	Broken Roads
b-68	Bully
b-69	The Metropolitan Opera: Madama Butterfly
b-70	The Cabin in the Woods
b-71	California Solo
b-72	California Winter
b-73	Call Me Kuchu
b-74	The Campaign
b-75	Caroline And Jackie
b-76	Casa de mi padre
b-77	Celeste and Jesse Forever
b-78	The Central Park Five
b-79	Changing the Game
b-80	Chasing Ice
b-81	Chasing Mavericks
b-82	Chernobyl Diaries
b-83	Chimpanzee
b-84	A Christmas Story 2
b-85	Christmas With The Dead
